2024-10-01 20:17:48,419 - INFO - Starting coin scraping process
2024-10-01 20:18:06,069 - INFO - Slowly scrolled to the bottom of the page
2024-10-01 20:18:17,613 - INFO - Slowly scrolled to the top of the page
2024-10-01 20:26:25,713 - INFO - Read: Rank: 93, Name: KuCoin Token
2024-10-01 20:26:25,782 - INFO - Read: Rank: 94, Name: Fantom
2024-10-01 20:26:25,848 - INFO - Read: Rank: 95, Name: Ontology
2024-10-01 20:26:25,912 - INFO - Read: Rank: 96, Name: Siacoin
2024-10-01 20:26:25,996 - INFO - Read: Rank: 97, Name: 0x
2024-10-01 20:26:26,069 - INFO - Read: Rank: 98, Name: OMG Network
2024-10-01 20:26:26,132 - INFO - Read: Rank: 99, Name: UMA
2024-10-01 20:26:26,203 - INFO - Read: Rank: 100, Name: BakeryToken
2024-10-01 20:26:26,281 - INFO - Read: Rank: 101, Name: Voyager Token
2024-10-01 20:26:26,361 - INFO - Read: Rank: 102, Name: SwissBorg
2024-10-01 20:26:26,435 - INFO - Read: Rank: 103, Name: Ankr
2024-10-01 20:26:26,504 - INFO - Read: Rank: 104, Name: Ravencoin
2024-10-01 20:26:26,575 - INFO - Read: Rank: 105, Name: ICON
2024-10-01 20:26:26,750 - INFO - Read: Rank: 106, Name: 1inch
2024-10-01 20:26:26,884 - INFO - Read: Rank: 107, Name: Livepeer
2024-10-01 20:26:26,959 - INFO - Read: Rank: 108, Name: Neutrino USD
2024-10-01 20:26:27,035 - INFO - Read: Rank: 109, Name: Bitcoin Diamond
2024-10-01 20:26:27,108 - INFO - Read: Rank: 110, Name: renBTC
2024-10-01 20:26:27,176 - INFO - Read: Rank: 111, Name: Flow
2024-10-01 20:26:27,253 - INFO - Read: Rank: 112, Name: Verge
2024-10-01 20:26:27,326 - INFO - Read: Rank: 113, Name: Ren
2024-10-01 20:26:27,406 - INFO - Read: Rank: 114, Name: Arweave
2024-10-01 20:26:27,483 - INFO - Read: Rank: 115, Name: WazirX
2024-10-01 20:26:27,545 - INFO - Read: Rank: 116, Name: Loopring
2024-10-01 20:26:27,607 - INFO - Read: Rank: 117, Name: Nervos Network
2024-10-01 20:26:27,672 - INFO - Read: Rank: 118, Name: IOST
2024-10-01 20:26:27,736 - INFO - Read: Rank: 119, Name: MaidSafeCoin
2024-10-01 20:26:27,799 - INFO - Read: Rank: 120, Name: WINkLink
2024-10-01 20:26:27,865 - INFO - Read: Rank: 121, Name: Reserve Rights
2024-10-01 20:26:27,927 - INFO - Read: Rank: 122, Name: Kyber Network Crystal Legacy
2024-10-01 20:26:27,990 - INFO - Read: Rank: 123, Name: Gnosis
2024-10-01 20:26:28,059 - INFO - Read: Rank: 124, Name: Lisk
2024-10-01 20:26:28,122 - INFO - Read: Rank: 125, Name: Ocean Protocol
2024-10-01 20:26:28,200 - INFO - Read: Rank: 126, Name: Golem
2024-10-01 20:26:28,284 - INFO - Read: Rank: 127, Name: GateToken
2024-10-01 20:26:28,347 - INFO - Read: Rank: 128, Name: Kava.io
2024-10-01 20:26:28,412 - INFO - Read: Rank: 129, Name: Wootrade
2024-10-01 20:26:28,488 - INFO - Read: Rank: 130, Name: Mina
2024-10-01 20:26:28,569 - INFO - Read: Rank: 131, Name: iExec RLC
2024-10-01 20:26:28,646 - INFO - Read: Rank: 132, Name: VeThor Token
2024-10-01 20:26:28,718 - INFO - Read: Rank: 133, Name: SKALE Network
2024-10-01 20:26:28,777 - INFO - Read: Rank: 134, Name: Dent
2024-10-01 20:26:28,841 - INFO - Read: Rank: 135, Name: Conflux Network
2024-10-01 20:26:28,906 - INFO - Read: Rank: 136, Name: Gemini Dollar
2024-10-01 20:26:28,973 - INFO - Read: Rank: 137, Name: Origin Protocol
