rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
105,ICON,ICX,"$473,527,256.66",$0.7391,"640,706,460 ICX *","$31,570,502.07",-22.92%
106,1inch,1INCH,"$432,912,245.96",$2.5054,"172,793,241 1INCH *","$59,643,082.83",-26.53%
107,Livepeer,LPT,"$426,871,853.45",$20.17,"21,164,655 LPT *","$30,648,419.87",-20.08%
108,Neutrino USD,USDN,"$387,148,152.93",$1.0002,"387,082,070 USDN *","$10,733,639.72",-0.21%
109,Bitcoin Diamond,BCD,"$386,180,254.72",$2.0708,"186,492,898 BCD","$6,680,453.73",-15.25%
110,renBTC,RENBTC,"$371,099,625.90","$34,577.04","10,733 RENBTC *","$15,827,711.79",-3.03%
111,Flow,FLOW,"$363,637,454.50",$8.5704,"42,429,369 FLOW *","$47,052,648.14",-9.02%
112,Verge,XVG,"$360,110,396.13",$0.02187,"16,462,878,444 XVG","$18,908,476.64",-20.71%
113,Ren,REN,"$348,241,163.31",$0.349,"997,763,051 REN *","$22,887,662.13",-15.97%
114,Arweave,AR,"$344,556,806.42",$10.32,"33,394,701 AR *","$24,574,908.52",-43.93%
115,WazirX,WRX,"$339,192,409.61",$1.1546,"293,763,596 WRX *","$27,451,615.91",-18.90%
116,Loopring,LRC,"$338,943,141.69",$0.2766,"1,225,574,300 LRC *","$224,928,730.79",1.92%
117,Nervos Network,CKB,"$332,722,716.80",$0.0124,"26,835,101,964 CKB *","$13,084,420.05",-20.93%
118,IOST,IOST,"$310,899,462.73",$0.01889,"16,454,275,775 IOST *","$64,698,496.99",-20.12%
119,MaidSafeCoin,MAID,"$300,331,147.16",$0.6636,"452,552,412 MAID *","$1,220,226.47",-3.52%
120,WINkLink,WIN,"$299,087,551.83",$0.0003903,"766,299,999,999 WIN *","$20,471,479.97",-14.97%
121,Reserve Rights,RSR,"$293,398,119.16",$0.02229,"13,159,999,000 RSR *","$25,354,064.79",-23.63%
122,Kyber Network Crystal Legacy,KNC,"$277,000,390.39",$1.3509,"205,045,092 KNC *","$32,845,841.33",-21.45%
123,Gnosis,GNO,"$269,124,964.00",$178.87,"1,504,587 GNO *","$1,620,402.99",-1.88%
124,Lisk,LSK,"$257,994,442.07",$2.0089,"128,424,485 LSK *","$11,726,526.24",-19.22%
125,Ocean Protocol,OCEAN,"$252,352,627.66",$0.4116,"613,099,141 OCEAN *","$10,905,102.73",-16.60%
126,Golem,GLM,"$250,441,483.71",$0.2504,"1,000,000,000 GLM *","$3,588,799.66",-6.06%
127,GateToken,GT,"$249,907,797.50",$3.1461,"79,433,255 GT *","$5,253,359.59",-12.52%
128,Kava.io,KAVA,"$247,923,795.69",$3.5331,"70,172,142 KAVA *","$33,692,980.37",-12.82%
129,Wootrade,WOO,"$239,194,499.84",$0.6358,"376,235,705 WOO *","$42,532,245.11",-36.57%
130,Mina,MINA,"$242,244,027.55",$1.4793,"163,759,018 MINA *","$17,034,209.62",-26.80%
131,iExec RLC,RLC,"$232,140,907.41",$2.8992,"80,070,793 RLC *","$23,139,975.13",-15.53%
132,VeThor Token,VTHO,"$230,799,011.36",$0.006232,"37,033,118,161 VTHO","$20,563,145.27",-11.66%
133,SKALE Network,SKL,"$230,277,770.72",$0.2402,"958,853,025 SKL *","$41,894,780.22",-12.21%
134,Dent,DENT,"$230,508,739.34",$0.002338,"98,610,710,274 DENT *","$23,193,599.08",-21.16%
135,Conflux Network,CFX,"$220,705,609.25",$0.2602,"848,242,983 CFX","$25,147,849.87",-3.35%
136,Gemini Dollar,GUSD,"$219,990,221.57",$1.0084,"218,153,824 GUSD *","$9,371,150.24",0.86%
137,Origin Protocol,OGN,"$213,682,527.53",$0.681,"313,759,591 OGN *","$52,057,979.33",-21.62%
138,Reef,REEF,"$202,371,783.61",$0.01598,"12,666,667,338 REEF *","$60,335,658.66",-17.61%
139,Ergo,ERG,"$201,145,063.33",$6.2833,"32,012,428 ERG","$1,323,555.39",-21.53%
140,Prometeus,PROM,"$193,112,459.33",$11.74,"16,450,000 PROM *","$7,022,029.68",-16.76%
141,Venus,XVS,"$191,155,599.44",$18.63,"10,263,253 XVS *","$27,266,602.67",-29.43%
142,Storj,STORJ,"$188,154,730.07",$0.653,"288,139,087 STORJ *","$13,143,743.79",-20.69%
143,Energy Web Token,EWT,"$184,559,552.75",$6.1393,"30,062,138 EWT *","$710,080.08",-9.56%
144,Band Protocol,BAND,"$181,449,742.66",$5.1560,"35,191,821 BAND *","$29,792,763.35",-16.75%
145,Cartesi,CTSI,"$180,400,384.89",$0.4898,"368,330,973 CTSI *","$176,043,782.32",-3.66%
146,Swipe,SXP,"$177,459,129.05",$1.8644,"95,181,302 SXP *","$144,724,559.63",-15.45%
147,Uquid Coin,UQC,"$175,885,671.20",$17.59,"10,000,000 UQC *","$5,276,363.89",-14.51%
148,MCO,MCO,"$172,265,510.55",$10.91,"15,793,831 MCO *","$971,800.81",-11.70%
149,FUNToken,FUN,"$171,939,403.89",$0.01669,"10,298,879,189 FUN *","$2,063,495.99",-13.65%
150,Orchid,OXT,"$169,949,398.47",$0.2492,"681,999,067 OXT *","$36,936,998.12",-12.26%
151,Stratis,STRAX,"$170,092,629.25",$1.2817,"132,710,156 STRAX *","$2,948,968.83",8.24%
152,LockTrip,LOC,"$165,712,266.65",$11.08,"14,952,163 LOC *","$101,893.88",4.94%
153,ABBC Coin,ABBC,"$164,151,211.10",$0.192,"855,173,358 ABBC","$38,798,127.10",-26.26%
154,Bitcoin Standard Hashrate Token,BTCST,"$159,995,791.18",$18.90,"8,464,090 BTCST *","$2,797,332.56",-22.45%
155,ZKSwap,ZKS,"$158,391,038.74",$0.8022,"197,440,000 ZKS *","$17,388,299.33",-16.60%
156,WAX,WAXP,"$158,640,538.66",$0.09575,"1,656,879,898 WAXP *","$2,214,972.23",-32.59%
157,Status,SNT,"$156,712,399.39",$0.04516,"3,470,483,788 SNT *","$10,853,805.71",-23.60%
158,NKN,NKN,"$156,896,563.27",$0.2241,"700,000,000 NKN","$19,114,153.68",-18.33%
159,Ontology Gas,ONG,"$156,477,161.79",$0.5635,"277,695,513 ONG *","$6,235,215.65",-22.12%
160,IoTeX,IOTX,"$152,672,192.59",$0.016,"9,540,779,324 IOTX *","$9,909,410.73",-21.18%
161,NuCypher,NU,"$153,085,460.96",$0.2332,"656,500,000 NU *","$37,481,615.00",-16.84%
